polymer, polymer  SMILES string,polymer MW (g/mol),polymer wt%,intrinsic viscosity (dl/g),polymer surface tension (mN/m),pore maker ,pore maker molecular weight (Da),pore maker wt% (pore maker weight to total weight),additive,additive wt% (additive weight to polymer),organic solvent,solubility parameter (MPa1/2),mean pore radius (nm),overall porosity (%),contact angle (degree)
Polyethersulfone,,,20,0.41,42,PVP,,1,MoS2,0.35,DMAc,22.7,14.3,56.6,61.9
Polyethersulfone,,,20,0.41,42,PVP,,1,MoS2,0.5,DMAc,22.7,12.4,54.2,58.1
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,GO-2,0,DMAc,22.7,3.2,73.2,65.2
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,GO-2,0.1,DMAc,22.7,3.8,78.2,58.6
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,GO-2,0.5,DMAc,22.7,4.5,83.1,53.2
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,GO-2,1,DMAc,22.7,3.8,79.2,55.3
Polyethersulfone,,58000,18,0.41,42,none,,0,HPEI-GO,0,DMAc+Acetone,,35.09,59.3,85
Polyethersulfone,,58000,18,0.41,42,none,,1,HPEI-GO,1,DMAc+Acetone,,34.61,55.3,75
Polyethersulfone,,58000,18,0.41,42,none,,2,HPEI-GO,3,DMAc+Acetone,,36.26,49.6,68
Polyethersulfone,,58000,18,0.41,42,none,,3,HPEI-GO,5,DMAc+Acetone,,36.42,47.2,63
Polyethersulfone,,58000,18,0.41,42,PVP,10000,1.5,ZnO NPs-2,0,DMAc,22.7,42.98,15.69,70.9
Polyethersulfone,,58000,18,0.41,42,PVP,10000,1.5,ZnO NPs-2,1,DMAc,22.7,42.92,32.63,65.9
Polyethersulfone,,58000,18,0.41,42,PVP,10000,1.5,MWCNT,1,DMAc,22.7,55.75,53.24,55.4
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,none,0,NMP,22.9,50,75.4,78
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,CNT-1,1,NMP,22.9,55,81,54
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,CNT-SO3H,1,NMP,22.9,60,84,51
Polyethersulfone,,58000,19,0.41,42,PVP,,1,none,0,DMAc,22.7,35,66,78
Polyethersulfone,,58000,19,0.41,42,PVP,,1,CNT,1.5,DMAc,22.7,42.5,70,82.5
Polyethersulfone,,58000,19,0.41,42,PVP,,1,SLS-CNT,0.5,DMAc,22.7,52.5,72,75
Polyethersulfone,,58000,19,0.41,42,PVP,,1,SLS-CNT,1,DMAc,22.7,55,73,72
Polyethersulfone,,58000,19,0.41,42,PVP,,1,SLS-CNT,1.5,DMAc,22.7,60,74,70
Polyethersulfone,,58000,19,0.41,42,PVP,,1,SLS-CNT,2,DMAc,22.7,63,75,57.5
Polyethersulfone,,58000,19,0.41,42,PVP,,1,SLS-CNT,2.5,DMAc,22.7,59,72.5,65
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,none,0,NMP,22.9,42.5,55,69.2
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,HAp/AC,0.5,NMP,22.9,54,57,63
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,HAp/AC,1,NMP,22.9,68,58,55
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,HAp/AC,2,NMP,22.9,75,63,48
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,HAp/AC,4,NMP,22.9,88,65,42
Polyethersulfone,,58000,15,0.41,42,PVP,40000,3,none,0,NMP,22.9,54,63.7,68.3
Polyethersulfone,,58000,15,0.41,42,PVP,40000,3,HAp/BN,1,NMP,22.9,60.1,66.3,56
Polyethersulfone,,58000,15,0.41,42,PVP,40000,3,HAp/BN,2,NMP,22.9,66.7,70.5,50
Polyethersulfone,,58000,15,0.41,42,PVP,40000,3,HAp/BN,4,NMP,22.9,65.5,67.3,46.1
Polyethersulfone,,62000-64000,16,0.41,42,PVP,30000,4,none,0,NMP,22.9,34.1,55.4,83.75
Polyethersulfone,,62000-64000,16,0.41,42,PVP,30000,4,HANTs-DA-TA,0.1,NMP,22.9,40.1,64.3,76.25
Polyethersulfone,,62000-64000,16,0.41,42,PVP,30000,4,HANTs-DA-TA,0.2,NMP,22.9,44.6,69.7,71.25
Polyethersulfone,,62000-64000,16,0.41,42,PVP,30000,4,HANTs-DA-TA,0.3,NMP,22.9,43.2,73.6,67.5
Polyethersulfone,,62000-64000,16,0.41,42,PVP,30000,4,HANTs-DA-TA,0.4,NMP,22.9,41.6,67.8,64
Sulfonated polyethersulfone,,58000,16,,,PVP,40000,4,none,0,NMP,22.9,9.1,69.4,70
Sulfonated polyethersulfone,,58000,16,,,PVP,40000,4,GO-SiO2-NH2,2,NMP,22.9,11.2,72.3,65
Sulfonated polyethersulfone,,58000,16,,,PVP,40000,4,GO-SiO2-NH2,4,NMP,22.9,12.9,74.4,59
Sulfonated polyethersulfone,,58000,16,,,PVP,40000,4,GO-SiO2-NH2,6,NMP,22.9,14.3,82.1,52
Sulfonated polyethersulfone,,58000,16,,,PVP,40000,4,GO-SiO2-NH2,8,NMP,22.9,13.2,78.2,50
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,none,0,NMP,22.9,50,62,70
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,ZnFe2O4,2,NMP,22.9,62,63,60
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,PDA-g-ZnFe2O4,2,NMP,22.9,62.5,75.2,55
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,PDA-g-ZnFe2O4,4,NMP,22.9,70,79.5,52
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,20,0.408,46.6,PEG,2000,2,none,0,DMAc,22.7,11.25,68,86.5
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,19.5,0.408,46.6,PEG,2000,2,TiO2 NPs-3,0.5,DMAc,22.7,16,72,83.5
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,19,0.408,46.6,PEG,2000,2,TiO2 NPs-3,1,DMAc,22.7,17.5,76,79
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PEG,2000,2,TiO2 NPs-3,2,DMAc,22.7,20,77.5,74.5
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,17,0.408,46.6,PEG,2000,2,TiO2 NPs-3,3,DMAc,22.7,18,75,82
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,19.5,0.408,46.6,PEG,2000,2,HEMA-TiO2,0.5,DMAc,22.7,17.6,74,81.5
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,19,0.408,46.6,PEG,2000,2,HEMA-TiO2,1,DMAc,22.7,18,76,76
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PEG,2000,2,HEMA-TiO2,2,DMAc,22.7,23,78,72
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,17,0.408,46.6,PEG,2000,2,HEMA-TiO2,3,DMAc,22.7,20.5,76,78
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,none,0,NMP,22.9,37.5,81.2,84.4
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,GO-4,0.02,NMP,22.9,33.7,86.6,79.2
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,GO-4,0.05,NMP,22.9,34.4,85.5,77.2
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,GO-4,0.1,NMP,22.9,36.9,82.9,79.5
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,GO-4,0.15,NMP,22.9,33,79.9,75.5
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,PDA-rGO,0.02,NMP,22.9,37.5,87.7,74.6
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,PDA-rGO,0.05,NMP,22.9,48.2,79,73.2
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,PDA-rGO,0.1,NMP,22.9,50.6,80.5,74.6
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,17,0.408,46.6,PVP,,3,PDA-rGO,0.15,NMP,22.9,42.7,78.7,74.3
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,15,0.408,46.6,PEG,400,10,none,0,NMP,22.9,2.7,25.1,67.9
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,15,0.408,46.6,PEG,400,10,GO-3,1,NMP,22.9,3.9,34.1,61.8
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,15,0.408,46.6,PEG,400,10,GO-3,2,NMP,22.9,3.2,38.4,62.7
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,15,0.408,46.6,PEG,400,10,GO-7,1,NMP,22.9,3.7,36.4,58.2
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,15,0.408,46.6,PEG,400,10,GO-7,2,NMP,22.9,4.1,42.5,56
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,none,0,NMP,22.9,60,75.4,78
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,GO-5,0.8,NMP,22.9,70,83.3,56
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,GO-SO3H,0.4,NMP,22.9,68,82.4,53
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,GO-SO3H,0.8,NMP,22.9,74,86.7,50
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,40000,1,GO-SO3H,1.2,NMP,22.9,71,82.8,51
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,14,0.408,46.6,PVP,40000,6,none,0,NMP,22.9,32,50.4,87
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,14,0.408,46.6,PVP,40000,6,TiO2-SO3H NTs,1,NMP,22.9,39.7,58.6,72
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,14,0.408,46.6,PVP,40000,6,TiO2-SO3H NTs,3,NMP,22.9,38.8,66.3,63.7
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,14,0.408,46.6,PVP,40000,6,TiO2-SO3H NTs,5,NMP,22.9,36.2,62.7,58
Polyethersulfone,,,18,0.41,42,PEG,400,10,none,0,DMF,24.8,12.9,69.2,68.1
Polyethersulfone,,,18,0.41,42,PEG,400,10,mesoporous SiO2,1,DMF,24.8,13.7,74.8,61.8
Polyethersulfone,,,18,0.41,42,PEG,400,10,mesoporous SiO2,2,DMF,24.8,14.6,75.9,56.6
Polyethersulfone,,,18,0.41,42,PEG,400,10,mesoporous SiO2,4,DMF,24.8,12.8,74.9,57.1
Polyethersulfone,,58000,17,0.41,42,PVP,,1,none,0,DMAc,22.7,25,70,72
Polyethersulfone,,58000,17,0.41,42,PVP,,1,CQDs,0.5,DMAc,22.7,32.5,75,56
Polylactic acid,,60000,16,1.5,41.3,PVP,40000,2,none,0,NMP,22.9,95,56,83
Polylactic acid,,60000,15,1.5,41.3,PVP,40000,2,none,0,DMAc,22.7,88.6,80,82.1
Polylactic acid,,60000,18,1.5,41.3,PVP,40000,2,none,0,DMAc,22.7,73.3,67,57
Polylactic acid,,60000,20,1.5,41.3,PVP,40000,2,none,0,DMAc,22.7,56.9,64.5,40
